ref_area,time,n_strikes_lockouts,workers_involved,days_not_worked
Antigua and Barbuda,1988,0,,
Antigua and Barbuda,1989,2,,
Antigua and Barbuda,1990,4,,
Antigua and Barbuda,1991,0,,
Antigua and Barbuda,1992,3,0.666,1245
Antigua and Barbuda,1993,2,0.075,150
Antigua and Barbuda,1994,0,0,0
Antigua and Barbuda,1995,1,,
Antigua and Barbuda,1996,2,0.332,45.5
Antigua and Barbuda,2024,0,,
Argentina,1974,543,271.697,651555
Argentina,1975,1266,,
Argentina,1987,638,5464.166,10561805
Argentina,1988,463,3256.771,7876899
Argentina,1989,193,1737.228,2331227
Argentina,1999,,2497.746,6248966
Argentina,2000,,6760.85,12392241
Argentina,2006,,1151.871,6332776
Argentina,2007,,1149.577,8396498
Argentina,2008,,1793.595,8300793
Argentina,2009,888,1433.248,8932016
Argentina,2010,958,1401.662,6674058
Argentina,2011,962,1058.281,4131835
Argentina,2012,1217,1490.971,8189703
Argentina,2013,1211,1393.06,7643731
Argentina,2014,1337,1458.238,11036819
Argentina,2015,1235,1147.777,4955667
Argentina,2016,1321,1705.169,10385401
Argentina,2017,1010,1266.601,10648393
Argentina,2018,833,1303.992,12273466
Argentina,2019,873,1068.856,6164329
Argentina,2020,842,1096.245,6877641
Argentina,2021,740,976.991,3710332
Argentina,2022,724,830.852,4563793
Argentina,2023,646,1072.966,4597152
Argentina,2024,614,1709.449,6183108
Armenia,2009,0,,
Armenia,2010,0,,
Aruba,1992,4,,14311
Aruba,1993,2,,988
Aruba,1994,4,,914
Aruba,1995,17,,4821
Aruba,1996,9,,2382
Aruba,2004,3,0.324,
Aruba,2005,1,0.04,40
Aruba,2006,1,0.04,10
Aruba,2007,3,0.222,52
Aruba,2013,,,1
Australia,1971,2404,1326.5,3068600
Australia,1972,2298,1113.8,2010300
Australia,1973,2538,803,2634700
Australia,1974,2809,2004.8,6292500
Australia,1975,2432,1398,3509900
Australia,1976,2055,2190.1,3799400
Australia,1977,2090,596.2,1654800
Australia,1978,2277,1075.6,2130800
Australia,1979,2042,1862.9,3964400
Australia,1980,2429,1172.6,3319700
Australia,1981,2915,1247.2,4189300
Australia,1982,2060,706.1,1980400
Australia,1983,1787,470.2,1641400
Australia,1984,1965,560.3,1307400
Australia,1985,1895,570.5,1256200
Australia,1986,1754,691.7,1390700
Australia,1987,1517,608.8,1311900
Australia,1988,1508,894.4,1641400
Australia,1989,1402,709.8,1202400
Australia,1990,1193,729.9,1376500
Australia,1991,1036,1181.6,1610600
Australia,1992,728,871.5,941200
Australia,1993,610,489.6,635800
Australia,1994,560,265.1,501600
Australia,1995,643,344.3,547600
Australia,1996,543,577.7,928500
Australia,1997,447,315.4,534200
Australia,1998,520,348.4,526300
Australia,1999,731,461.1,650600
Australia,2000,700,325.4,469100
Australia,2001,675,225.7,393100
Australia,2002,767,159.7,259000
Australia,2003,643,275.6,439400
Australia,2004,692,194,379800
Australia,2005,472,241,228300
Australia,2006,202,122.7,132600
Australia,2007,135,36,49700
Australia,2008,177,172.9,196500
Australia,2013,215,132.2,131000
Australia,2015,228,73.3,83400
Australia,2016,259,105.9,124500
Australia,2018,163,57.6,105800
Australia,2019,147,53.2,64400
Australia,2020,77,11.4,33500
Australia,2021,130,71.1,116600
Australia,2022,188,122.4,196800
Australia,2023,198,46,99300
Australia,2024,194,89.1,139100
Austria,1971,,2.431,3702
Austria,1972,,7.096,15104
Austria,1973,,78.251,160138
Austria,1974,,7.295,7243
Austria,1975,,3.783,5512
Austria,1976,,2.352,589
Austria,1977,,0.043,11
Austria,1978,,0.699,10222
Austria,1979,8,0.786,764
Austria,1980,9,24.181,16960
Austria,1981,6,17.115,4024
Austria,1982,2,0.091,344
Austria,1983,4,0.208,514
Austria,1984,2,0.268,543
Austria,1985,4,35.531,22752
Austria,1986,11,3.222,3253
Austria,1987,6,7.302,4822
Austria,1988,5,24.252,8542
Austria,1989,7,3.715,2986
Austria,1990,9,5.274,8870
Austria,1991,9,92.707,58341
Austria,1992,3,18.039,23437
Austria,1993,3,6.869,13008
Austria,1994,0,0,0
Austria,1995,1,0.06,120
Austria,1996,0,0,0
Austria,1997,1,25.8,19125
Austria,1998,0,0,0
Austria,1999,0,0,0
Austria,2000,4,19.439,2947
Austria,2001,0,0,0
Austria,2002,4,6.305,9306
Austria,2003,,779.182,1305466
Austria,2004,,0.03,178
Austria,2005,0,0,0
Austria,2006,0,0,0
Austria,2007,0,0,0
Austria,2008,0,0,0
Austria,2009,0,0,0
Austria,2010,0,0,0
Austria,2011,,87.034,56670
Austria,2012,,1.5,563
Austria,2013,,5.529,3277
Austria,2014,,5.196,3309
Austria,2015,0,0,0
Austria,2016,0,0,0
Austria,2017,0,0,0
Austria,2018,,37.923,8934
Austria,2019,,5.262,1973
Austria,2020,,9.883,3687
Austria,2021,,5.032,1421
Austria,2022,,15.336,14711
Austria,2023,,110.401,98605
Austria,2024,,14.114,9042
Bahamas,1986,0,0,0
Bahamas,1987,1,0.175,525
Bahamas,1988,1,0.35,700
Bahamas,1989,0,0,0
Bahamas,1990,0,0,0
Bahamas,1991,0,0,0
Bahamas,1992,0,0,0
Bahrain,2009,5,0.976,
Bahrain,2010,11,2.496,
Bangladesh,1969,55,113.194,561874
Bangladesh,1970,52,77.68,366901
Bangladesh,1971,9,35.324,70333
Bangladesh,1972,39,43.615,126000
Bangladesh,1973,58,35.027,285177
Bangladesh,1974,32,57.387,231736
Bangladesh,1975,2,28.327,162000
Bangladesh,1976,5,14.517,25618
Bangladesh,1977,22,76.675,81715
Bangladesh,1978,89,113.209,662332
Bangladesh,1979,96,114.248,647629
Bangladesh,1980,104,164.032,1160436
Bangladesh,1981,80,117.031,1198460
Bangladesh,1982,55,21.788,238658
Bangladesh,1983,16,175.787,392616
Bangladesh,1984,132,400.336,1022918
Bangladesh,1985,95,198.118,284920
Bangladesh,1986,46,105.977,2079671
Bangladesh,1987,18,88.795,175278
Bangladesh,1988,9,28.874,49398
Bangladesh,1989,12,59.701,83771
Bangladesh,1990,5,14.554,28479
Bangladesh,1991,3,0.454,29811
Bangladesh,1992,11,6.19,20339
Bangladesh,1993,11,6.101,16029
Bangladesh,1994,2,5.641,2821
Bangladesh,1995,5,24.656,75023
Bangladesh,1996,1,0.353,22
Bangladesh,1997,0,0,0
Bangladesh,1998,1,6.49,155760
Bangladesh,1999,4,2.296,1978
Bangladesh,2000,4,1.698,2284
Barbados,1969,3,0.489,2753
Barbados,1970,0,0,0
Barbados,1971,3,0.415,
Barbados,1972,7,1.353,1450
Barbados,1973,71,2.549,4147
Barbados,1974,2,0.55,2400
Barbados,1975,3,0.823,3431
Barbados,1976,2,0.282,129
Barbados,1977,0,0,0
Barbados,1978,0,0,0
Barbados,1979,1,0.045,270
Barbados,1980,7,2.166,14342
Barbados,1981,8,2.219,6982
Barbados,1982,17,6.084,8045
Barbados,1983,5,1.031,8949
Barbados,1984,3,0.582,939
Barbados,1985,5,0.886,5259
Barbados,1986,2,0.085,106
Barbados,1987,7,0.988,2320
Barbados,1988,10,0.862,697
Barbados,1989,12,2.654,3931
Barbados,1990,17,1.083,1754
Barbados,1991,10,0.604,643
Barbados,1992,12,4.591,36473
Barbados,1993,5,0.091,38
Barbados,1994,2,0.05,19
Barbados,1995,8,0.376,334
Barbados,1996,7,0.181,765
Barbados,1997,13,0.745,428
Barbados,1998,40,3.63,7452
Barbados,2001,24,3.831,5410.5
Barbados,2002,5,0.577,1911
Barbados,2009,24,0.648,648
Barbados,2010,0,0,0
Barbados,2013,9,,
Barbados,2014,10,,
Barbados,2015,8,530,530
Belarus,1989,26,3.7,11900
Belarus,1990,19,10.7,28900
Belarus,1991,47,63.2,279700
Belarus,1992,3,2.1,88900
Belarus,1993,2,0.2,500
Belarus,1994,3,3.1,5500
Belarus,1995,0,0,0
Belarus,1996,0,0,0
Belarus,1997,0,0,0
Belarus,1998,0,0,0
Belarus,1999,0,0,0
Belarus,2000,0,0,0
Belarus,2001,0,0,0
Belarus,2002,0,0,0
Belarus,2003,0,0,0
Belarus,2004,0,0,0
Belarus,2014,,0,
Belarus,2015,,,0
Belgium,1969,,36.547,162898
Belgium,1970,,111.002,1432274
Belgium,1971,184,100.066,1240472
Belgium,1972,191,70.57,354086
Belgium,1973,172,70.134,871872
Belgium,1974,235,60.764,580032
Belgium,1975,243,90.159,607809
Belgium,1976,281,117.8,896805
Belgium,1977,220,74.217,664236
Belgium,1978,195,101.703,1002489
Belgium,1979,215,61.844,615484
Belgium,1980,132,30.432,216754
Belgium,1981,,,0
Belgium,1982,,,0
Belgium,1983,,,0
Belgium,1984,,,0
Belgium,1985,65,37.5,129800
Belgium,1986,,,0
Belgium,1987,,,0
Belgium,1988,64,23.2,194000
Belgium,1989,81,19.5,132800
Belgium,1990,33,9.8,103000
Belgium,1991,62,11.2,66500
Belgium,1992,49,21.9,198700
Belgium,1993,28,8.5,54700
Belgium,1994,30,5.9,71300
Belgium,1995,46,12.8,100200
Belgium,1996,60,19.971,146256
Belgium,1997,17,9,40100
Belgium,1998,484,18.9,87100
Belgium,1999,64,12.145,76310
Belgium,2000,75,11.483,264919
Belgium,2001,,,460177
Belgium,2002,,,60954
Belgium,2003,,,239344
Belgium,2004,,,166287
Belgium,2005,,,669982
Belgium,2006,,,88941
Belgium,2007,,,127442
Belgium,2008,,,263613
Belgium,2014,,,760297
Belgium,2015,,,207563
Belgium,2016,,,409751.72
Belgium,2017,,,247717.52
Belgium,2018,,,422249.12
Belgium,2019,,224,802.97
Belgium,2020,,33,105.6
Belgium,2021,,35,93.2
Belgium,2022,,46,214.5
Belgium,2023,,176,1270
Belgium,2024,,2641,8250.2
Belize,2011,0,0,0
Belize,2012,0,0,0
Benin,2018,31,,255
Bermuda,1969,1,0.087,1392
Bermuda,1970,5,0.518,6098
Bermuda,1971,6,0.672,6107
Bermuda,1972,13,1.485,36006
Bermuda,1973,1,0.494,3613
Bermuda,1974,5,0.556,8444
Bermuda,1975,2,0.807,9545
Bermuda,1976,1,0.02,1260
Bermuda,1977,6,3.006,13392
Bermuda,1978,3,0.13,4200
Bermuda,1979,3,0.04,3280
Bermuda,1980,4,0.85,1640
Bermuda,1981,10,6.5,25600
Bermuda,1982,1,0.394,788
Bermuda,1983,26,1.187,1387
Bermuda,1984,10,0.924,14300
Bermuda,1985,4,0.358,479
Bermuda,1986,1,0.7,4200
Bermuda,1987,2,0.35,750
Bermuda,1988,0,0,0
Bermuda,1989,4,1.542,3582
Bermuda,1990,4,0.58,1570
Bermuda,1991,1,0.015,975
Bermuda,1992,1,0.2,840
Bermuda,1993,2,0.1,1020
Bermuda,1994,2,0.2,400
Bermuda,1995,1,0.15,150
Bermuda,1996,0,0,0
Bermuda,1997,3,0.52,790
Bhutan,2022,0,0,0
"Bolivia, Plurinational State of",1981,31,,
"Bolivia, Plurinational State of",1982,301,,
"Bolivia, Plurinational State of",1983,261,,
"Bolivia, Plurinational State of",1984,500,,
"Bolivia, Plurinational State of",1985,319,,
"Bolivia, Plurinational State of",1986,188,,
"Bolivia, Plurinational State of",1987,207,,
"Bolivia, Plurinational State of",1988,164,,
"Bolivia, Plurinational State of",1989,177,,
"Bolivia, Plurinational State of",1990,30,,
"Bolivia, Plurinational State of",1991,16,619,
"Bolivia, Plurinational State of",1992,22,340,
"Bolivia, Plurinational State of",1993,93,203,
"Bolivia, Plurinational State of",1994,40,667,
"Bolivia, Plurinational State of",1995,38,303,
"Bolivia, Plurinational State of",1996,117,,
"Bolivia, Plurinational State of",1997,222,,
"Bolivia, Plurinational State of",1998,145,,
"Bolivia, Plurinational State of",1999,174,,
Botswana,1994,7,1.135,
Botswana,1995,6,2.326,3440
Botswana,1996,6,0.334,699
Botswana,1997,19,3.506,1410
Botswana,1998,30,3.58,4285
Botswana,1999,10,2.221,33500
Botswana,2000,14,1.443,27794
Botswana,2002,4,0.242,
Botswana,2003,3,0.13,
Botswana,2004,5,3.386,
Botswana,2005,1,0.052,
Botswana,2006,2,0.232,
Botswana,2007,5,3.386,
Botswana,2008,1,0.052,1
Brazil,1980,81,,
Brazil,1981,79,,
Brazil,1982,126,,
Brazil,1983,312,,
Brazil,1984,534,,
Brazil,1985,843,5431,49575000
Brazil,1986,1494,7146,32173000
Brazil,1987,2369,8304,58956000
Brazil,1988,1954,7136,53495000
Brazil,1989,4189,14093,117792000
Brazil,1990,1846,14243,17000
Brazil,1991,659,16805,7000
Brazil,1992,347,3496.7,2260479
Brazil,1993,653,,69330771
Brazil,1994,1034,3806.493,16782201
Brazil,1995,1056,,22159769
Brazil,1996,1258,,21983377
Brazil,1997,630,,6893991
Brazil,1998,546,,16795023
Brazil,1999,508,,5934657
Brazil,2000,525,3834.116,238921522
Brazil,2001,416,797.139,71886654
Brazil,2002,298,1213.862,116620512
Brazil,2003,340,1943.223,340954860
Brazil,2004,302,1291.332,150484289
Brazil,2005,299,2023.18,230604495
Brazil,2006,320,1360.013,183776042
Brazil,2007,316,1437.769,237156516
Brazil,2008,411,2043.124,143432937
Brazil,2009,518,1568.034,4339
Brazil,2010,446,1582.746,5613
Brazil,2011,554,2050.021,7922
Brazil,2012,873,1771.953,10862
Brazil,2015,1980,1284678,17367.62
Brazil,2016,2127,760967,17718.25
Brazil,2017,1574,364566,12001.75
Brazil,2018,1461,167649,8709.88
Brazil,2019,1118,166199,5697.25
Brazil,2020,,133480,18.9
Burkina Faso,1969,2,1.496,11472
Burkina Faso,1970,3,0.287,674
Burkina Faso,1971,2,0.252,328
Burkina Faso,1972,2,0.042,1890
Burkina Faso,1973,7,,
Burkina Faso,1974,10,,
Burkina Faso,1976,4,6.679,18967
Burkina Faso,1977,0,0,0
Burkina Faso,1978,3,0.245,1665
Burkina Faso,1980,7,12.2,213600
Burkina Faso,1991,3,0.321,1692
Burkina Faso,2022,5,,
Burundi,1995,0,1.416,
Burundi,1996,0,0.12,
Burundi,1997,0,0.6,
Burundi,1998,2,0.33,
Burundi,1999,2,6.5,
Burundi,2000,3,3.46,31140
Burundi,2001,4,5.42,54200
Burundi,2023,,0.663,
Cambodia,1994,2,0.833,2765
Cambodia,1997,1,0.2,
Cambodia,1998,10,5.17,98230
Cambodia,1999,78,34,4828000
Cambodia,2000,76,36.039,3315588
Cambodia,2001,95,38.558,60358
Cameroon,1969,9,10.216,12736
Cameroon,1970,4,1.857,999
Cameroon,1971,32,2.53,17810
Cameroon,1972,5,3.901,94
Cameroon,1973,7,8.124,509
Cameroon,1974,10,6.313,231746
Cameroon,1975,12,3.861,122068
Cameroon,1976,3,1.377,13788
Cameroon,1977,0,0,0
Cameroon,1978,6,5.965,23617
Cameroon,1979,1,0.745,745
Cameroon,1980,0,0,0
Cameroon,1981,4,0.585,1932
Cameroon,1986,11,0.046,
Canada,1969,595,306.799,7751880
Canada,1970,542,261.706,6539560
Canada,1971,569,239.631,2866590
Canada,1972,598,706.474,7753530
Canada,1973,724,348.47,5776080
Canada,1974,1218,580.912,9221890
Canada,1975,1171,506.443,10908810
Canada,1976,1039,1570.921,11609890
Canada,1977,803,217.557,3307880
Canada,1978,1058,401.688,7392820
Canada,1979,1050,462.504,7834230
Canada,1980,1028,441.025,8975390
Canada,1981,1048,338.548,8878490
Canada,1982,677,444.302,5795420
Canada,1983,645,329.309,4443960
Canada,1984,67,130.852,2331350
Canada,1985,56,98.281,1348850
Canada,1986,748,484.255,7151470
Canada,1987,668,581.882,3810170
Canada,1988,548,206.796,4901260
Canada,1989,627,444.747,3701360
Canada,1990,579,270.471,5079190
Canada,1991,463,253.334,2516090
Canada,1992,404,149.94,2110180
Canada,1993,381,101.784,1516640
Canada,1994,374,80.856,1606580
Canada,1995,328,149.159,1583070
Canada,1996,329,275.805,3269060
Canada,1997,285,258.111,3609460
Canada,1998,381,233.604,2440270
Canada,1999,412,148.276,2434050
Canada,2000,378,142.672,1644100
Canada,2001,383,221.203,2202740
Canada,2002,294,165.59,2985940
Canada,2003,267,78.915,1730492
Canada,2004,297,259.229,3185165
Canada,2005,260,199.007,4147580
Canada,2006,151,42.314,792923
Canada,2007,206,,1770707
Canada,2008,188,41.331,875440
Canada,2009,157,67.313,2162500
Canada,2010,174,57.728,1202483
Canada,2011,149,91.147,1350596
Canada,2012,281,137.398,904017
Canada,2013,165,205.726,1498950
Canada,2014,153,80.474,1711330
Canada,2015,237,428.802,1845503
Canada,2016,190,44.391,631950
Canada,2017,191,206.375,1200700
Canada,2018,173,86.067,1133724
Canada,2019,131,108.811,1305911
Canada,2021,186,289.804,1323627
Canada,2022,176,206.649,2151382
Canada,2023,778,540.951,6584618
Cape Verde,1991,1,0.014,1916
Cape Verde,1997,17,,
Cayman Islands,2000,0,0,0
Cayman Islands,2001,0,0,0
Cayman Islands,2002,0,0,0
Cayman Islands,2003,0,0,0
Cayman Islands,2004,0,0,0
Cayman Islands,2005,0,0,0
Cayman Islands,2006,0,0,0
Cayman Islands,2007,0,0,0
Cayman Islands,2008,0,0,0
Central African Republic,1989,3,,
Central African Republic,1991,4,,
Central African Republic,1992,13,,
Central African Republic,1993,2,,
Central African Republic,2003,2,0.04,
Central African Republic,2004,1,,
Central African Republic,2005,3,,
Central African Republic,2006,9,0.254,3
Central African Republic,2007,11,0.003,12
Central African Republic,2008,3,,
Chile,1969,1277,362.01,1178706
Chile,1970,1819,656.17,2804517
Chile,1971,2696,298.677,1387505
Chile,1972,3325,393.954,1678124
Chile,1973,2050,711.028,2503356
Chile,1980,89,29.73,428300
Chile,1981,,24.882,676295
Chile,1982,,2.367,51644
Chile,1983,41,4.373,58492
Chile,1984,38,3.595,41980
Chile,1985,42,8.532,131630
Chile,1986,41,3.9,60700
Chile,1987,81,9.9,104200
Chile,1988,72,5.6,87400
Chile,1989,101,17.9,298600
Chile,1990,176,25.01,245192
Chile,1991,224,46.215,733794
Chile,1992,247,26.962,344708
Chile,1993,224,25.098,59741
Chile,1994,196,16.209,34819
Chile,1995,187,24.724,350124
Chile,1996,183,25.776,234566
Chile,1997,179,19.278,214485
Chile,1998,121,12.608,123507
Chile,1999,108,10.667,103232
Chile,2000,125,13.227,114306
Chile,2001,88,11.591,127157
Chile,2002,117,14.662,207224
Chile,2003,92,10.443,73467
Chile,2004,125,13.013,172858
Chile,2005,101,11.209,99931
Chile,2006,134,15.602,195344
Chile,2007,146,17.294,163770
Chile,2008,159,17.473,202178
Chile,2011,184,22.429,2263
Chile,2012,160,29.992,1871
Chile,2013,201,30.638,2756
Chile,2017,139,18.574,2299
Chile,2018,143,15.969,300.81
Chile,2019,153,32.128,382.083
Chile,2020,72,12.987,286.2
Chile,2021,116,17.725,312.1
Chile,2022,94,11.752,220.4
Chile,2023,107,12.056,187.5
Chile,2024,106,23.041,158.1
Colombia,1978,266,22.628,
Colombia,1979,137,29.712,
Colombia,1980,261,30.915,
Colombia,1981,219,22.56,
Colombia,1982,149,60.119,
Colombia,1983,139,85.112,
Colombia,1984,147,30.624,
Colombia,1985,87,10.481,
Colombia,1986,80,12.371,
Colombia,1987,79,6.559,
Colombia,1988,251,24.569,
Colombia,1989,117,19.78,
Colombia,1990,283,20.348,
Colombia,1991,234,,
Colombia,1992,638,23.578,
Colombia,1993,292,9.879,
Colombia,1994,154,,
Colombia,2002,35,,
Colombia,2003,15,,
Colombia,2004,12,,
Colombia,2005,18,,
Colombia,2006,8,,
Colombia,2007,7,,
Colombia,2008,3,,
Costa Rica,1977,10,10.592,74121
Costa Rica,1978,14,20.168,176784
Costa Rica,1979,20,25.671,275125
Costa Rica,1980,61,24.75,427346
Costa Rica,1981,6,7.38,166580
Costa Rica,1982,14,13.387,285932
Costa Rica,1983,16,8.303,30906
Costa Rica,1984,12,13.165,254350
Costa Rica,1985,10,11.215,43945
Costa Rica,1986,23,37.928,40250
Costa Rica,1987,7,5.25,909
Costa Rica,1988,16,2.975,35620
Costa Rica,1989,19,7.145,108120
Costa Rica,1990,42,26.085,158500
Costa Rica,1991,11,3.821,98289.3
Costa Rica,1992,19,42.251,5776474
Costa Rica,1993,21,43.222,3394255
Costa Rica,1994,19,10.694,159324
Costa Rica,1995,15,73.68,2531220
Costa Rica,1996,12,6.904,92712
Costa Rica,1997,9,17.003,254782
Costa Rica,2000,35,0.283,
Costa Rica,2001,4,0.464,
Costa Rica,2002,6,0.62,
Costa Rica,2003,6,,
Costa Rica,2004,10,1.84,
Costa Rica,2005,16,1.751,
Costa Rica,2006,7,0.2,
Costa Rica,2007,7,0.333,
Costa Rica,2008,9,2.33,
Costa Rica,2009,20,2.523,33.03
Costa Rica,2010,6,1.072,85.7
Costa Rica,2011,15,30.651,47.36
Costa Rica,2012,8,65.504,15
Costa Rica,2013,23,84.226,62
Costa Rica,2014,10,77.69,76
Costa Rica,2015,6,8.732,12
Costa Rica,2016,10,13.045,14
Costa Rica,2017,3,16.4,77.92
Costa Rica,2019,4,5.33,55
Costa Rica,2020,0,0,0
Cyprus,1971,28,6.867,23629
Cyprus,1972,46,21.431,142427
Cyprus,1973,26,2.79,12874
Cyprus,1974,36,8.498,14349
Cyprus,1975,9,1.132,7808
Cyprus,1976,9,1.007,2683
Cyprus,1977,7,0.67,2469
Cyprus,1978,14,7.735,9169
Cyprus,1979,27,7.185,22243
Cyprus,1980,38,49.833,101509
Cyprus,1981,38,8.253,18232
Cyprus,1982,31,3.957,7934
Cyprus,1983,28,3.975,12831
Cyprus,1984,29,4,11339
Cyprus,1985,30,8.082,16834
Cyprus,1986,39,4.796,9797
Cyprus,1987,38,18.257,91109
Cyprus,1988,35,5.59,30327
Cyprus,1989,37,12.462,32826
Cyprus,1990,20,8.045,32174
Cyprus,1991,31,4.782,10347
Cyprus,1992,27,49.897,59720
Cyprus,1993,24,16.945,23883
Cyprus,1994,32,15.362,28911
Cyprus,1995,26,64.061,97609
Cyprus,1996,20,3.914,7705
Cyprus,1997,16,2.295,5240
Cyprus,1998,20,6.591,7948
Cyprus,1999,21,2.108,26037
Cyprus,2000,6,0.18,1136
Cyprus,2001,25,1.699,4778
Cyprus,2002,23,3.496,7051
Cyprus,2003,18,3.535,6901
Cyprus,2004,13,6.479,9053
Cyprus,2005,11,13.895,13967
Cyprus,2006,10,25.955,26898
Cyprus,2007,8,3.396,10289
Cyprus,2008,8,0.743,1034
Cyprus,2009,6,0.573,1743
Cyprus,2010,4,0.2,200
Cyprus,2011,57,82.336,39349
Cyprus,2012,76,86.5,132811
Cyprus,2013,47,44.273,605671
Cyprus,2014,43,23.741,29670
Cyprus,2015,31,6.393,13223
Cyprus,2016,15,5.52,35803.12
Cyprus,2017,16,5.074,3990
Cyprus,2018,37,8.839,24717
Cyprus,2022,20,3.26,4970
Cyprus,2023,26,136.723,58100
Cyprus,2024,,4.178,17915
Czechia,1991,1,4.9,2300
Czechia,1992,2,20.3,18700
Czechia,1993,2,2.5,300
Czechia,1994,3,67.1,3100
Czechia,1995,2,2,2000
Czechia,1996,2,11.5,16400
Czechia,2009,0,0,0
Czechia,2010,0,0,0
Czechia,2011,0,0,0
Czechia,2012,0,0,0
Czechia,2013,0,,0
Czechia,2015,1,0.2,
Czechia,2016,2,,
Czechia,2017,2,,
Denmark,1971,31,6.379,20600
Denmark,1972,35,7.601,21800
Denmark,1973,205,337.1,3901200
Denmark,1974,134,142.352,184200
Denmark,1975,147,59.128,100100
Denmark,1976,204,87.224,210300
Denmark,1977,228,36.305,229700
Denmark,1978,314,59.34,128800
Denmark,1979,218,156.589,173000
Denmark,1980,225,62.063,186700
Denmark,1981,94,53.463,651600
Denmark,1982,180,53.185,92700
Denmark,1983,161,40.919,78800
Denmark,1984,157,50.764,131700
Denmark,1985,820,581.297,2332700
Denmark,1986,215,56.735,93200
Denmark,1987,202,56.878,137300
Denmark,1988,157,29.591,96500
Denmark,1989,132,27.212,52900
Denmark,1990,232,37.386,97600
Denmark,1991,203,37.861,70000
Denmark,1992,151,32.938,62800
Denmark,1993,218,58.764,113700
Denmark,1994,240,36.788,75000
Denmark,1995,424,124.496,197300
Denmark,1996,930,65.735,75700
Denmark,1997,1023,75.349,101700
Denmark,1998,1258,502.258,3173000
Denmark,1999,1079,75.17,91800
Denmark,2000,1081,75.656,124800
Denmark,2001,832,49.46,56000
Denmark,2002,1349,110.854,193600
Denmark,2003,681,44.365,55100
Denmark,2004,804,75.71,76400
Denmark,2005,534,32.833,51100
Denmark,2006,476,79.128,85900
Denmark,2007,862,61.113,91700
Denmark,2008,335,91.409,1869100
Denmark,2009,207,12.679,15000
Denmark,2010,329,15.828,18500
Denmark,2011,280,13.127,15000
Denmark,2012,225,8.589,10200
Denmark,2013,197,57.319,930300
Denmark,2014,318,10.616,16900
Denmark,2015,158,6.054,9400
Denmark,2016,144,6.997,15400
Denmark,2017,426,16.953,28100
Denmark,2018,148,7.267,20300
Denmark,2019,150,5.895,8400
Denmark,2020,135,5.285,8500
Denmark,2021,160,16.83,243400
Denmark,2022,,4.965,16000
Denmark,2023,136,7.761,15300
Denmark,2024,86,4.267,4500
Dominica,1983,1,,16000
Dominica,1984,2,,22000
Dominica,1985,0,,0
Dominica,1986,4,,
Dominica,1987,3,,
Dominica,1988,0,0,0
Dominica,1989,1,0.22,440
Dominica,1990,1,,
Dominica,1991,0,0,0
Dominica,1992,0,0,0
Dominica,1993,1,0.133,532
Dominica,1997,4,0.655,1746
Dominican Republic,1995,2,1.042,
Dominican Republic,1996,0,0,
Dominican Republic,1997,0,0,
Dominican Republic,1998,8,3.774,
Dominican Republic,1999,0,,
Dominican Republic,2000,1,,
Dominican Republic,2001,1,,
Dominican Republic,2002,0,,
Dominican Republic,2003,0,,
Dominican Republic,2004,0,,
Dominican Republic,2005,0,,
Dominican Republic,2006,1,,
Dominican Republic,2007,0,,
Dominican Republic,2008,0,,
Ecuador,1974,61,5.948,105380
Ecuador,1975,61,11.913,418226
Ecuador,1976,58,7.016,265107
Ecuador,1977,9,0.802,43282
Ecuador,1978,7,0.538,17394
Ecuador,1979,37,2.387,60012
Ecuador,1980,75,16.065,508174
Ecuador,1981,99,12.255,368909
Ecuador,1982,86,15.776,431982
Ecuador,1983,97,13.913,467542
Ecuador,1984,96,13.866,372730
Ecuador,1985,72,9.248,266859
Ecuador,1986,78,11.963,432497
Ecuador,1987,75,13.904,333610
Ecuador,1988,126,51.684,720712
Ecuador,1989,169,51.175,684437
Ecuador,1990,140,24.392,428307
Ecuador,1991,87,9.664,307282
Ecuador,1992,49,8.04,319685
Ecuador,1993,28,3.399,113961
Ecuador,1994,14,1.888,73633
Ecuador,1995,7,0.639,27013
Ecuador,1996,11,0.938,55210
Ecuador,1997,18,3.765,197918
Ecuador,1998,17,1.867,44161
Ecuador,1999,8,1.873,51361
Ecuador,2000,11,1.766,115558
Ecuador,2001,4,0.536,19259
Ecuador,2002,17,2.257,98400
Ecuador,2003,17,1.67,112574
Ecuador,2004,11,0.5,64210
Ecuador,2005,8,0.963,25290
Ecuador,2006,16,1.066,91676
Ecuador,2007,8,1.525,68439
Ecuador,2008,11,0.574,36672
Ecuador,2011,2,,
Ecuador,2012,12,,
Egypt,1969,214,15.47,
Egypt,1970,45,1.311,
Egypt,1971,90,11.425,
Egypt,1972,537,11.864,22275
Egypt,1973,13,4.222,4907
Egypt,1974,6,13.172,71321
Egypt,1975,7,40.527,200528
Egypt,1976,10,0.793,921
Egypt,1977,5,1.042,2541
Egypt,1978,3,3.9,1450
Egypt,1979,7,5.235,3933
Egypt,1980,4,0.089,52
Egypt,1981,6,2.886,2886
Egypt,1982,4,0.771,771
Egypt,1983,1,0.05,100
Egypt,1984,0,0,0
Egypt,1985,2,2.7,5900
Egypt,1986,3,1.755,3165
Egypt,1987,2,0.067,67
Egypt,1988,0,0,0
Egypt,1989,3,0.65,1731
Egypt,1990,4,2.406,2120
Egypt,1991,1,1.1,1100
Egypt,1992,0,0,0
